num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200900000227;0;1;0;0;2;3;15;B01
200900000227;0;32;0;0;2;3;17;A01
200900000228;0;33;0;0;2;7;5;A01
200900000228;0;1;0;0;2;7;1;B01
200900000229;0;10;0;0;2;5;2;B01
200900000229;0;7;0;0;2;3;1;C01
200900000229;0;34;0;0;2;1;2;A01
200900000230;0;2;0;0;2;1;5;A01
200900000230;0;7;0;0;2;1;15;B01
200900000231;0;30;0;0;0;0;1;A01
200900000232;0;7;0;0;2;3;11;A01
200900000232;0;32;0;0;2;2;3;C01
200900000232;0;32;0;0;2;5;3;B01
200900000233;0;7;0;0;2;8;22;A01
200900000233;0;1;0;0;2;7;1;B01
200900000234;0;33;0;1;0;1;21;A01
200900000235;0;7;0;0;2;8;1;C01
200900000235;0;33;0;0;2;3;3;A01
200900000235;0;7;0;0;2;5;14;B01
200900000236;0;30;0;0;2;1;2;A01
200900000236;0;7;0;0;2;2;2;B01
200900000237;0;33;0;1;2;7;1;B01
200900000237;0;7;0;0;2;8;11;A01
200900000238;0;32;0;11;0;7;17;A01
200900000239;0;7;0;0;1;1;1;A01
200900000240;0;30;0;0;1;7;1;A01
200900000241;0;7;0;0;1;2;1;A01
200900000242;0;7;0;0;2;2;1;B01
200900000242;0;2;0;0;2;5;9;A01
200900000243;0;33;0;11;0;3;17;A01
200900000244;0;32;0;0;0;0;21;A01
200900000245;0;7;0;0;2;3;9;A01
200900000245;0;7;0;0;2;2;1;B01
200900000246;0;7;0;0;2;3;9;A01
200900000246;0;30;0;0;2;7;1;B01
200900000247;0;7;0;0;2;2;1;B01
200900000247;0;7;0;4;2;6;17;A01
200900000248;0;32;0;0;2;2;2;B01
200900000248;0;10;0;0;2;3;10;A01
200900000249;0;30;0;0;2;1;1;B01
200900000249;0;7;0;0;2;3;1;A01
200900000250;0;37;8;0;2;3;1;B01
200900000250;0;7;0;0;2;3;13;A01
200900000251;0;32;0;0;0;7;16;A01
200900000252;0;2;0;0;0;0;15;A01
200900000253;0;7;0;0;1;7;7;A01
200900000254;0;7;0;0;2;5;2;B01
200900000254;0;31;0;0;2;1;2;A01
200900000255;0;1;0;0;2;2;1;A01
200900000255;0;7;0;0;2;3;1;B01
200900000256;0;32;0;0;2;2;17;B01
200900000256;0;7;0;0;2;3;10;A01
200900000257;0;31;0;9;2;1;14;A01
200900000258;0;7;0;0;2;4;2;B01
200900000258;0;7;0;0;2;4;2;D01
200900000258;0;7;0;0;2;1;2;A01
200900000258;0;7;0;0;2;4;2;C01
200900000259;1;7;0;0;1;1;15;Z01
200900000260;0;7;0;0;2;3;2;A01
200900000260;0;31;0;0;2;5;2;B01
200900000261;0;7;0;1;0;1;1;A01
200900000262;0;7;0;0;2;4;2;B01
200900000262;0;32;0;0;2;2;2;A01
200900000263;0;7;0;0;2;7;16;A01
200900000263;0;2;0;0;2;1;7;B01
200900000264;0;10;0;0;2;4;23;B01
200900000264;0;13;0;0;2;1;2;A01
200900000265;0;7;0;0;2;4;23;B01
200900000265;0;33;0;0;2;4;23;C01
200900000265;0;7;0;0;2;1;2;A01
200900000266;0;30;0;0;2;1;1;A01
200900000266;0;2;0;0;2;6;1;B01
200900000267;0;7;0;0;2;1;2;A01
200900000267;0;7;0;0;2;4;2;B01
200900000268;0;1;0;0;0;0;16;A01
200900000269;0;7;0;0;2;1;2;A01
200900000269;0;31;0;0;2;4;23;B01
200900000270;0;2;0;0;2;2;1;B01
200900000270;0;7;0;0;2;3;22;A01
200900000271;0;7;0;0;2;1;2;A01
200900000271;0;7;0;0;2;4;2;B01
200900000272;0;2;0;0;2;0;7;A01
200900000272;0;7;0;0;2;2;16;B01
200900000273;0;1;0;0;5;0;1;A01
200900000274;0;7;0;0;1;1;17;A01
200900000275;0;32;0;0;1;1;1;A01
200900000276;0;32;0;0;2;4;2;A01
200900000276;1;7;0;0;2;3;2;Z01
200900000277;0;10;0;0;2;4;2;B01
200900000277;0;2;0;0;2;1;2;A01
200900000278;0;7;0;0;2;3;1;C01
200900000278;0;7;0;0;2;7;13;A01
200900000278;0;7;0;0;2;3;1;D01
200900000278;0;7;0;0;2;3;1;B01
200900000279;0;31;0;0;0;0;21;A01
200900000280;0;33;0;0;2;4;23;B01
200900000280;0;7;0;0;2;1;1;A01
200900000281;0;30;0;0;1;3;1;A01
200900000282;0;7;0;0;2;2;2;A01
200900000282;0;7;0;0;2;4;23;B01
200900000283;1;7;0;0;1;2;16;A01
200900000284;0;30;0;0;2;1;1;B01
200900000284;0;7;0;0;2;2;15;A01
200900000285;0;7;0;1;0;1;21;A01
200900000286;0;7;0;0;1;3;15;A01
200900000287;0;32;0;0;0;8;1;A01
200900000288;0;2;0;0;9;0;21;A01
200900000289;0;10;0;0;1;2;14;A01
200900000290;0;7;0;0;2;2;16;A01
200900000290;0;2;0;0;2;3;7;B01
200900000291;0;33;0;0;0;8;21;A01
200900000292;0;7;0;0;2;8;16;A01
200900000292;0;13;0;0;2;2;7;B01
200900000293;0;31;0;0;2;1;1;C01
200900000293;0;7;0;0;2;1;15;B01
200900000293;0;32;0;1;2;2;7;A01
200900000294;0;7;0;1;2;7;1;B01
200900000294;0;7;0;8;2;1;1;A01
200900000295;0;7;0;0;2;1;15;A01
200900000295;0;2;0;0;2;8;1;B01
200900000296;1;7;0;0;2;1;1;Z01
200900000296;0;7;0;15;2;5;1;A01
200900000297;0;30;0;0;0;0;21;A01
200900000298;0;10;0;0;1;3;1;A01
200900000299;0;32;0;0;2;1;1;A01
200900000299;0;7;0;0;2;3;1;B01
200900000300;0;7;0;0;2;7;12;A01
200900000300;0;30;0;0;2;8;1;B01
200900000301;0;7;0;14;0;1;21;A01
200900000302;0;10;0;0;1;1;1;A01
200900000303;0;7;0;0;1;3;1;A01
200900000304;0;7;0;0;2;3;1;B01
200900000304;0;7;0;0;2;1;15;A01
200900000305;0;34;0;0;2;5;17;B01
200900000305;0;10;0;0;2;3;1;C01
200900000305;0;7;0;0;2;3;22;A01
200900000306;0;2;0;0;1;1;0;A01
200900000307;0;7;0;0;2;2;16;B01
200900000307;0;30;0;0;2;3;18;A01
200900000308;0;33;0;7;0;2;1;A01
200900000309;1;7;0;0;1;7;1;A01
200900000310;0;7;0;0;1;3;15;A01
200900000311;0;32;0;0;2;1;1;B01
200900000311;0;7;0;0;2;2;15;A01
200900000312;0;30;0;0;2;7;1;B01
200900000312;0;7;0;0;2;0;9;A01
200900000313;0;7;0;0;1;1;1;A01
200900000314;0;32;0;0;1;0;1;A01
200900000315;0;2;0;0;2;1;1;B01
