num_acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201400000146;14;3;15;1430;1;2;1;1;6;382;rue de la R?publique;M;0;0;590
201400000147;14;3;25;1530;1;2;1;1;6;349;ROUTE DE CAMBRAI;M;0;0;590
201400000148;14;11;22;515;3;1;1;1;6;413;;M;0;0;590
201400000149;14;1;22;1830;2;1;2;1;3;377;;M;5014000;320000;590
201400000150;14;4;5;1115;1;1;1;1;3;377;;M;0;0;590
201400000151;14;6;25;15;3;1;1;1;6;389;;M;0;0;590
201400000152;14;9;1;1645;1;1;1;1;4;269;;M;0;0;590
201400000153;14;9;2;1845;1;1;1;1;1;161;;M;0;0;590
201400000154;14;11;27;1745;3;1;1;1;6;341;;M;0;0;590
201400000155;14;2;3;1045;1;2;1;7;6;289;rue Roger Salengro;M;0;0;590
201400000156;14;9;20;1015;1;2;1;1;2;558;56 rue Jean Jaures;M;0;0;590
201400000157;14;10;22;830;2;1;1;1;7;69;;M;0;0;590
201400000158;14;11;4;1315;1;2;1;1;1;289;rue henri barbusse;M;0;0;590
201400000159;14;11;18;1145;1;2;1;1;1;108;RUE FOCH;M;0;0;590
201400000160;14;12;15;2130;3;1;1;2;1;289;;M;0;0;590
201400000161;14;1;17;1600;1;1;1;3;1;15;;M;5028800;313300;590
201400000162;14;4;27;430;3;1;6;1;6;126;;M;0;0;590
201400000163;14;9;19;730;1;1;1;1;6;126;;M;0;0;590
201400000164;14;12;13;415;3;1;6;1;7;126;;M;0;0;590
201400000165;14;12;19;1800;2;2;1;1;6;409;43 RUE DE MASNY;M;0;0;590
201400000166;14;6;7;1945;1;2;1;1;2;158;ROUTE NATIONALE;M;0;0;590
201400000167;14;6;12;1800;1;1;1;1;3;449;;M;0;0;590
201400000168;14;1;17;1430;1;2;3;2;3;357;rue Maxime Qu?vy;M;5027700;386700;590
201400000169;14;2;8;1945;3;1;1;1;1;548;;M;0;0;590
201400000170;14;5;1;2145;2;1;1;1;1;70;;M;0;0;590
201400000171;14;10;3;2245;5;2;1;1;3;53;Rd932- brunehaut;M;0;0;590
201400000172;14;10;19;1600;1;2;1;1;3;627;22 rue Albert Mathieu;M;0;0;590
201400000173;14;10;20;900;1;2;1;1;2;315;rue des martyrs;M;0;0;590
201400000174;14;3;15;845;1;2;1;1;7;381;D73, rue d'Artres;M;0;0;590
201400000175;14;10;29;1645;1;1;2;1;3;353;;M;0;0;590
201400000176;14;1;14;1745;5;2;1;9;1;169;58 rue de maubeuge;M;0;0;590
201400000177;14;7;13;1030;1;2;1;3;3;342;rue du calvaire;M;0;0;590
201400000178;14;7;30;900;1;2;1;1;6;157;CD 936 rue de landelies;M;0;0;590
201400000179;14;9;25;1430;1;2;1;1;6;649;37 rue jourdan;M;0;0;590
201400000180;14;2;9;1415;1;1;1;4;6;496;;M;0;0;620
201400000181;14;2;15;1030;1;1;1;1;6;160;;M;0;0;620
201400000182;14;3;1;545;3;1;1;1;6;560;;M;0;0;620
201400000183;14;4;18;1830;1;1;1;1;4;758;;M;0;0;620
201400000184;14;4;27;2100;2;1;1;9;6;156;;M;5089970;176729;620
201400000185;14;7;8;930;1;1;1;1;2;125;;M;0;0;620
201400000186;14;9;1;1415;1;1;1;1;7;318;;M;5050610;168226;620
201400000187;14;1;7;1800;1;1;1;1;5;829;;M;5004768;290743;620
201400000188;14;2;7;1500;1;1;1;8;3;410;;M;5009361;292014;620
201400000189;14;3;6;2145;3;1;1;1;6;876;;M;5008643;280896;620
201400000190;14;4;3;1615;1;1;1;1;1;117;;M;5009665;301061;620
201400000191;14;4;27;1330;1;2;1;2;3;515;Rue de MIRAUMONT;M;5008446;281314;620
201400000192;14;6;13;1700;1;1;1;1;1;515;;M;5009078;281676;620
201400000193;14;12;11;1615;1;1;1;2;1;93;;M;5008273;287577;620
201400000194;14;1;22;1745;5;2;1;2;6;649;48  RUE D EN HAUT;M;5015287;248629;620
201400000195;14;4;19;2030;3;1;1;1;6;877;;M;5019247;250266;620
201400000196;14;7;8;1345;1;1;1;1;7;800;;M;5015809;258459;620
201400000197;14;12;6;845;1;1;1;8;7;9;;M;5018966;270991;620
201400000198;14;12;28;2300;3;1;1;9;7;68;;M;5016400;272484;620
201400000199;14;11;19;1745;2;1;1;1;6;298;;M;5022952;317485;620
201400000200;14;3;12;1145;1;1;1;1;3;557;;M;5033063;271753;620
201400000201;14;1;10;1915;3;1;2;1;3;568;;M;5023512;276363;620
201400000202;14;1;11;1645;1;1;1;1;3;817;;M;5027300;280983;620
201400000203;14;1;16;1000;1;1;1;3;1;817;;M;5027175;280792;620
201400000204;14;1;22;1845;5;2;1;2;4;754;intersection D9 / D12E1;M;5018679;285808;620
201400000205;14;2;2;2000;3;1;1;1;6;780;;M;5022970;308539;620
201400000206;14;5;2;915;1;2;6;1;6;81;Intersection RD 939/ RD;M;5021575;306765;620
201400000207;14;6;29;2000;1;2;7;1;6;469;12 grand place;M;5017809;305102;620
201400000208;14;7;25;245;3;1;1;1;1;817;;M;5027072;280498;620
201400000209;14;8;2;1045;1;1;1;1;1;568;;M;5025272;279077;620
201400000210;14;8;27;1400;1;1;1;1;6;184;;M;5019768;302337;620
201400000211;14;8;28;1330;1;1;1;1;1;858;;M;5022033;304983;620
201400000212;14;10;4;800;1;1;1;1;7;673;;M;5018156;299357;620
201400000213;14;10;28;745;2;1;1;1;1;306;;M;5016895;282398;620
201400000214;14;12;3;1715;2;2;1;1;3;817;RD939;M;5027862;281997;620
201400000215;14;12;24;1530;1;1;1;2;7;728;;M;5023298;305980;620
201400000216;14;9;2;1715;1;1;6;1;3;355;;M;5033366;292402;620
201400000217;14;10;15;945;1;2;4;1;3;173;rue de la Chapelle;M;5033344;302159;620
201400000218;14;1;7;15;3;1;1;1;6;376;;M;5057956;258583;620
201400000219;14;3;6;1415;1;2;1;1;5;770;rue de Guarbecque;M;5062103;252259;620
201400000220;14;3;30;930;1;2;7;1;6;141;rue DES PRES;M;5061653;233160;620
201400000221;14;5;29;1500;1;2;1;1;3;473;69 rue Jean Jaures;M;5062145;245511;620
201400000222;14;10;27;1730;2;2;1;1;3;162;Rue Principale;M;5057010;243624;620
201400000223;14;1;18;1230;1;1;1;8;7;736;;M;5063559;280002;620
201400000224;14;2;21;1845;4;1;1;1;6;529;;M;5057630;278025;620
201400000225;14;3;21;1045;1;1;1;2;7;338;;M;5063944;281378;620
201400000226;14;3;23;30;5;1;1;1;6;706;;M;5058344;276900;620
201400000227;14;5;5;1330;1;2;1;1;6;706;88 rue du Moulin L'Avou;M;5057239;274478;620
201400000228;14;5;14;2000;1;1;1;1;3;491;;M;5058585;276728;620
201400000229;14;5;17;1815;1;1;3;1;6;338;;M;5034693;284869;620
201400000230;14;5;21;1845;1;1;1;1;3;706;;M;5059933;275701;620
201400000231;14;6;25;745;1;1;1;1;2;491;;M;5062759;282122;620
201400000232;14;8;6;700;2;2;1;2;3;338;rue du quesnes;M;5065039;283039;620
201400000233;14;9;20;1230;1;2;1;1;1;491;RUE PLATE;M;5063022;279958;620
201400000234;14;11;7;1630;1;1;1;8;6;338;;M;5063907;281245;620
201400000235;14;12;9;1730;3;1;1;1;6;252;;M;5056183;271256;620
201400000236;14;1;6;730;2;1;1;1;1;526;;M;5073170;188778;620
201400000237;14;7;4;1000;1;2;1;1;7;165;63, route de DESVRES;M;5069877;185874;620
201400000238;14;8;10;545;5;2;1;1;6;908;rue de Macquinghem;M;5072083;169907;620
201400000239;14;8;23;200;3;1;1;1;6;255;;M;5071147;174970;620
201400000240;14;9;8;1745;1;2;1;1;6;268;rue Roger Salengro;M;5066936;182961;620
201400000241;14;9;12;1915;1;1;2;1;3;678;;M;5069911;194490;620
201400000242;14;10;12;2215;3;1;1;3;7;255;;M;5067755;180438;620
201400000243;14;12;13;1330;1;2;3;1;3;268;Rue des Potiers;M;5066790;183894;620
201400000244;14;12;20;1045;1;2;1;1;6;773;avenue henry mory;M;5064214;174218;620
201400000245;14;1;11;1400;1;1;1;1;1;711;;M;5081603;176318;620
201400000246;14;3;21;830;1;1;1;2;3;711;;M;5082416;173140;620
201400000247;14;2;3;1945;3;2;1;1;6;20;;M;5076503;185662;620
201400000248;14;4;8;1645;1;2;1;1;6;443;8 bld castelneau;M;5046196;267143;620
201400000249;14;9;12;1745;1;1;1;1;4;793;;M;5041660;264308;620
201400000250;14;11;30;1845;5;2;1;1;3;443;136 rue Emile Basly;M;5044617;265777;620
201400000251;14;6;14;430;3;1;1;1;7;134;;M;5052925;190206;620
201400000252;14;10;19;1630;1;1;1;1;1;886;;M;5056723;194912;620
201400000253;14;11;8;1415;1;1;1;1;1;585;;M;5052671;180331;620
201400000254;14;7;14;945;1;2;1;1;1;354;rue du witrepin;M;5056304;169822;620
201400000255;14;7;19;1100;1;1;1;1;6;318;;M;5054032;162256;620
201400000256;14;9;13;915;1;2;1;1;3;318;avenue de Rombly;M;5051954;165292;620
201400000257;14;9;18;1315;1;2;6;1;6;318;CD940;M;5051336;163665;620
201400000258;14;11;3;1045;1;1;2;3;3;318;;M;5052263;163913;620
201400000259;14;11;28;815;1;1;1;1;6;201;;M;5055667;161307;620
201400000260;14;12;7;1345;1;1;1;3;7;241;;M;5056838;172546;620
201400000261;14;2;4;2115;5;2;1;1;1;447;D349;M;5037383;204253;620
201400000262;14;4;17;1045;1;2;6;1;3;447;Rond point sucrerie;M;5037148;202918;620
201400000263;14;4;16;445;3;1;1;1;6;549;;M;5036721;203133;620
201400000264;14;5;26;1745;1;2;1;2;3;552;route de Montreuil;M;5041117;192149;620
201400000265;14;6;4;1430;1;1;1;1;3;395;;M;5033253;200895;620
201400000266;14;7;12;1645;1;1;1;1;7;743;;M;5036069;204663;620
201400000267;14;8;29;2300;3;2;1;1;6;18;rue de la cav?e;M;5047957;185851;620
