num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200800000108;3;939;0;;2;2;66;500;0;1;1;0;80;2;0;1;0
200800000109;3;939;0;;2;2;0;0;0;1;0;0;60;7;0;1;0
200800000110;3;939;0;;2;2;0;0;0;1;1;0;0;1;0;1;0
200800000111;3;129;0;;2;2;0;0;0;1;1;0;51;1;5;1;0
200800000112;3;120;0;;2;1;22;20;0;1;3;0;53;1;0;1;0
200800000113;4;0;0;;2;1;0;0;0;1;1;0;51;2;0;1;0
200800000114;3;731;0;;2;2;0;0;0;1;1;0;61;1;0;1;0
200800000115;3;745;0;;2;2;11;300;0;2;1;0;63;2;0;1;0
200800000116;3;12;0;;2;2;2;300;0;2;3;0;60;0;0;0;0
200800000117;4;0;0;;2;2;0;0;0;1;2;0;53;2;0;3;0
200800000118;3;38;0;;0;0;0;0;0;2;2;175;60;1;5;1;0
200800000119;3;744;0;;2;2;0;0;0;2;1;0;80;1;0;1;0
200800000120;3;41;0;;2;0;0;800;0;1;2;0;63;2;0;1;0
200800000121;4;0;0;;0;0;0;0;0;0;1;0;0;1;0;1;0
200800000122;2;149;0;;2;0;61;500;0;2;1;0;72;7;0;1;0
200800000123;3;938;3;;2;2;38;300;0;1;1;0;76;2;0;4;0
200800000124;3;948;0;;3;2;36;200;0;1;2;50;72;2;5;3;0
200800000125;3;149;0;;2;2;0;0;0;3;1;0;70;1;0;1;0
200800000126;3;938;0;;2;2;36;100;0;0;1;0;75;2;0;1;0
200800000127;3;28;0;;2;2;9;500;0;1;4;0;55;7;0;1;0
200800000128;3;44;0;;2;0;0;0;0;2;3;0;64;1;0;1;0
200800000129;4;12;0;;0;0;0;0;0;4;2;0;53;7;0;1;0
200800000130;3;941;0;;2;2;71;600;0;1;1;0;70;1;0;3;0
200800000131;3;901;0;;2;2;18;800;0;1;3;0;66;2;0;3;0
200800000132;3;675;0;;2;2;82;0;0;2;3;0;73;1;0;0;0
200800000133;3;1089;0;;2;3;93;500;0;0;3;0;105;2;0;1;0
200800000134;3;1120;0;;2;2;0;0;0;1;1;100;0;1;0;3;0
200800000135;3;170;0;;2;2;4;800;0;0;1;0;52;2;0;1;0
200800000136;3;144;0;;2;2;9;935;0;2;1;0;46;9;0;1;0
200800000137;3;921;0;D;2;2;0;0;0;1;1;0;71;7;0;1;0
200800000138;3;152;0;;2;2;13;280;0;1;2;0;65;1;0;1;0
200800000139;3;152;0;;2;0;0;0;0;1;3;0;0;1;0;1;0
200800000140;3;902;0;;2;0;0;0;0;1;1;0;65;1;0;1;0
200800000141;3;982;0;;2;2;0;0;0;1;1;0;79;1;0;1;0
200800000142;3;979;0;;2;2;69;700;0;1;3;0;73;1;0;3;0
200800000143;3;979;0;;2;2;28;600;0;2;2;0;70;5;0;3;0
200800000144;3;17;0;;2;0;34;500;0;1;1;0;60;1;0;1;3
200800000145;3;942;0;;2;2;36;0;0;1;2;0;75;0;0;1;0
200800000146;3;68;0;;2;2;0;0;0;1;1;0;40;1;0;0;0
200800000147;3;915;0;;2;2;0;0;0;1;1;0;60;1;0;3;0
200800000148;3;72;0;;2;0;0;0;0;1;2;0;54;1;0;1;0
200800000149;3;112;0;;0;2;20;200;0;1;1;60;60;1;0;1;0
200800000150;2;20;0;;2;2;4;300;0;1;1;0;62;1;0;1;0
200800000151;4;3;0;;2;2;0;0;0;2;2;60;0;9;0;4;0
200800000152;2;224;0;;2;2;24;150;0;1;1;0;59;1;0;1;0
200800000153;3;29;0;A;2;2;0;0;0;1;1;0;0;1;0;1;0
200800000154;3;42;0;;1;2;26;843;0;0;3;0;60;1;0;1;0
200800000155;3;24;0;;2;2;23;258;0;1;1;0;60;1;0;1;0
200800000156;2;124;0;;2;2;12;0;0;1;1;0;74;1;0;1;0
200800000157;3;37;0;;2;0;33;0;0;3;1;0;65;1;5;1;0
200800000158;3;20;0;;2;2;6;0;0;0;1;0;80;1;2;1;0
200800000159;4;0;0;;2;0;0;0;0;0;1;0;64;2;0;1;0
200800000160;2;88;0;;2;0;16;500;0;2;1;0;63;1;0;1;0
200800000161;3;627;0;;2;2;62;10;0;1;2;0;56;2;0;1;0
200800000162;3;626;0;B;2;2;27;200;0;4;1;0;50;1;0;3;0
200800000163;3;68;0;;2;0;12;324;0;1;1;0;60;1;0;1;0
200800000164;3;5;0;;2;2;30;100;0;2;2;0;0;2;0;1;0
200800000165;3;34;0;;2;2;26;300;0;1;1;0;64;1;0;1;0
200800000166;3;125;0;;2;0;0;0;0;1;1;0;116;1;6;1;0
200800000167;3;52;0;;2;2;1;460;0;2;1;0;0;2;0;1;0
200800000168;2;117;0;;2;2;60;700;0;1;1;0;71;1;0;3;0
200800000169;3;813;0;;0;0;14;360;0;0;1;0;75;1;0;3;0
200800000170;3;16;0;;2;2;10;520;0;1;1;0;52;1;5;1;0
200800000171;3;2;0;;2;2;57;190;0;1;3;0;56;1;0;1;0
200800000172;3;1;0;;2;2;83;695;0;1;1;0;70;1;0;1;0
200800000173;3;117;0;;2;2;33;750;0;3;1;0;56;2;0;1;0
200800000174;3;23;0;D;2;0;0;700;0;2;3;0;61;7;0;1;0
200800000175;3;29;0;;2;0;9;0;0;1;1;0;0;1;0;1;0
200800000176;3;119;0;;2;2;38;600;0;1;3;0;50;2;0;3;0
200800000177;3;625;0;;2;2;19;980;0;1;1;0;72;1;6;1;0
200800000178;1;75;0;;0;2;225;500;3;1;1;20;70;2;0;1;0
200800000179;4;0;0;;2;2;0;0;0;1;1;0;56;1;5;1;0
200800000180;4;0;0;;2;2;0;0;0;1;1;0;80;1;0;1;0
200800000181;3;921;0;;2;2;25;250;0;2;2;0;70;1;0;1;0
200800000182;3;999;0;;2;2;60;100;0;1;1;0;55;1;0;1;0
200800000183;3;999;0;;2;2;91;400;0;2;3;0;78;1;0;3;0
200800000184;4;1;0;;2;0;0;0;0;2;1;0;28;1;0;1;0
200800000185;2;21;0;;2;2;59;750;0;0;3;0;75;2;0;0;0
200800000186;2;21;0;;2;2;59;785;0;1;1;0;75;2;0;1;0
200800000187;9;0;0;;2;2;0;0;0;1;1;0;96;1;0;1;0
200800000188;3;7;0;;2;2;5;200;0;2;2;0;60;1;0;3;0
200800000189;4;0;0;;2;1;0;0;0;1;1;30;30;2;0;1;0
200800000190;3;930;0;;2;2;31;300;0;2;1;31;31;2;0;1;0
200800000191;3;931;0;;2;2;16;600;0;1;0;0;163;1;5;1;0
200800000192;3;21;0;;2;1;27;900;0;1;1;0;73;1;0;1;0
200800000193;3;654;0;;2;2;26;300;0;1;1;0;56;1;0;1;0
200800000194;2;21;0;;2;2;17;0;0;4;2;0;81;1;5;1;0
200800000195;2;21;0;;2;2;22;330;0;1;3;0;68;1;0;1;0
200800000196;3;929;0;;2;0;29;200;0;1;1;0;70;2;0;1;0
200800000197;3;102;0;;2;2;6;500;0;2;2;0;48;6;0;1;0
200800000198;4;2;0;;2;0;0;0;0;1;1;0;0;1;0;3;0
200800000199;3;13;0;;2;2;81;600;0;2;3;0;57;2;5;1;0
200800000200;3;19;0;;2;0;46;800;0;3;2;65;0;1;0;3;0
200800000201;3;802;0;;2;2;18;155;0;1;1;0;0;1;5;1;0
200800000202;3;807;0;;2;2;0;0;0;0;1;0;73;1;0;3;0
200800000203;3;6;6;;2;0;11;400;0;4;3;0;59;2;0;3;0
200800000204;3;801;0;;2;2;5;100;0;1;3;0;64;1;0;1;0
200800000205;3;820;0;;2;2;14;800;0;3;3;0;76;2;0;1;0
200800000206;3;15;0;;2;2;49;100;0;2;3;0;68;2;0;3;0
200800000207;3;929;0;;2;0;13;550;0;1;1;0;60;1;0;1;0
200800000208;3;943;0;;2;2;0;0;1;1;1;0;58;1;4;1;0
200800000209;3;835;0;;2;2;0;0;0;1;1;0;101;2;0;1;0
200800000210;3;929;0;;0;0;0;0;0;0;1;0;60;1;0;1;0
200800000211;3;929;0;;2;0;18;500;0;1;1;0;65;2;0;3;0
200800000212;3;25;0;;2;2;24;700;0;1;3;0;60;1;0;1;0
200800000213;9;0;0;;2;0;0;0;0;2;1;0;54;5;0;3;0
200800000214;3;19;0;;2;0;16;0;0;1;1;0;40;2;0;3;0
200800000215;3;612;0;;2;2;63;480;3;3;1;0;99;2;5;1;0
200800000216;3;112;0;;2;1;59;400;0;1;1;0;70;8;0;1;0
200800000217;4;0;1;;2;2;0;0;0;1;1;0;60;1;0;1;0
200800000218;3;13;0;;2;2;32;300;0;1;1;0;51;1;0;1;0
200800000219;3;489;0;;2;0;0;0;0;1;0;0;0;2;5;1;0
200800000220;3;4;0;;2;2;3;200;0;1;3;0;0;1;5;1;0
200800000221;4;0;0;;2;0;0;0;0;3;1;0;73;2;0;1;0
200800000222;2;126;0;;2;2;7;950;0;1;1;0;71;2;0;1;0
200800000223;3;84;0;;2;2;4;100;0;2;1;0;63;2;0;1;0
200800000224;3;84;0;;2;2;2;47;0;2;1;0;65;2;0;3;0
200800000225;3;14;0;;2;2;58;60;0;0;1;0;65;1;0;1;0
200800000226;9;0;0;;2;2;0;0;0;1;1;0;0;1;0;1;0
200800000227;3;35;0;;2;2;2;150;0;1;1;0;54;2;0;1;0
200800000228;4;0;0;;2;0;0;0;0;1;1;0;35;1;0;1;0
200800000229;3;49;0;;2;0;5;300;0;1;1;0;62;2;0;1;0
200800000230;9;0;0;;2;0;0;0;0;2;1;38;0;1;0;1;0
200800000231;3;26;0;;2;2;1;100;0;2;1;0;65;1;0;3;0
200800000232;4;0;0;;2;2;0;0;0;2;2;0;39;2;0;1;0
200800000233;2;7;0;;3;0;0;0;0;1;1;20;40;1;5;1;0
200800000234;3;29;0;;1;3;0;0;0;1;2;0;0;1;0;1;0
200800000235;3;16;0;E;4;0;0;0;0;1;1;0;23;2;2;1;0
200800000236;4;0;0;;3;2;0;0;0;2;1;53;70;1;0;1;0
200800000237;4;0;0;;2;0;0;0;0;1;1;0;0;1;0;1;0
200800000238;3;147;0;;0;0;0;0;0;0;3;0;0;1;0;1;0
200800000239;3;29;0;;2;2;0;0;0;1;2;0;63;1;0;1;0
200800000240;3;386;0;;2;0;0;0;0;1;3;0;70;1;0;1;0
200800000241;3;311;0;;2;2;0;0;1;2;2;0;88;1;0;3;0
200800000242;9;0;0;;2;2;0;0;0;1;1;0;0;1;0;0;3
200800000243;3;312;0;;2;0;0;0;0;1;2;0;0;0;0;1;0
200800000244;3;44;0;;2;2;9;800;0;2;3;0;60;1;0;1;0
200800000245;3;337;0;;2;2;16;550;0;2;3;0;95;1;0;1;0
200800000246;3;306;0;;1;2;0;0;0;1;3;0;0;1;5;1;0
200800000247;2;7;0;;2;2;0;0;0;2;1;17;113;2;5;1;0
200800000248;4;0;0;;2;2;0;0;0;2;1;0;50;1;0;1;3
200800000249;4;0;0;;2;1;0;0;0;2;1;0;35;7;0;1;0
200800000250;2;7;0;;0;2;0;870;0;2;1;30;85;1;0;1;0
200800000251;3;8;0;;2;0;0;0;0;1;1;0;0;2;0;1;0
200800000252;3;45;0;;2;0;0;0;0;1;0;0;0;2;0;1;0
200800000253;3;1083;0;;2;2;0;0;0;2;2;0;0;1;0;4;0
200800000254;3;3;2;;2;2;2;970;0;1;3;0;55;2;0;1;0
200800000255;3;98;0;;2;2;11;900;0;2;1;0;58;1;0;1;0
200800000256;3;2;0;;2;2;53;50;0;1;1;67;0;1;0;3;0
200800000257;3;1084;0;;2;2;0;0;0;2;3;0;0;2;0;1;0
200800000258;3;70;0;;2;0;0;0;0;2;1;0;50;2;0;1;0
200800000259;3;933;0;;2;2;18;590;0;1;1;0;60;1;0;1;0
200800000260;3;87;0;;2;2;2;900;0;2;4;0;55;2;0;1;0
200800000261;3;992;0;;2;2;0;0;0;0;2;0;68;2;0;3;0
200800000262;3;12;0;;2;2;2;400;0;1;2;0;0;1;0;1;0
200800000263;4;0;0;;2;2;0;0;0;1;1;0;60;1;0;1;0
200800000264;3;904;0;;2;2;45;15;0;1;1;0;70;2;0;1;0
200800000265;4;0;0;;2;2;0;0;0;1;1;0;64;2;0;1;3
200800000266;3;1075;0;;2;2;0;0;0;1;1;60;0;2;0;3;0
200800000267;6;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;3
200800000268;3;984;4;;2;0;4;200;0;1;4;0;70;7;0;1;0
200800000269;3;1084;0;;2;0;0;0;0;1;4;0;0;1;0;1;0
200800000270;3;1005;0;;2;2;0;0;0;4;1;75;0;1;0;1;0
200800000271;3;1005;0;;2;2;28;240;0;1;3;0;73;1;6;1;0
200800000272;3;984;0;C;2;2;9;860;0;3;1;0;70;1;6;1;0
200800000273;3;1206;0;;2;0;4;0;0;2;1;79;0;1;0;1;0
200800000274;3;6;0;;2;0;0;0;0;2;1;0;60;1;0;1;0
200800000275;3;936;0;;2;0;34;500;0;1;1;0;70;2;0;1;0
200800000276;3;936;0;;2;2;26;100;0;1;2;0;77;1;0;1;0
200800000277;3;4;0;C;2;2;0;0;0;0;3;50;0;0;0;1;0
200800000278;3;4;0;;2;2;1;200;0;1;3;0;60;1;0;1;0
200800000279;4;5;0;;2;2;0;0;0;2;1;0;60;1;0;1;0
200800000280;4;0;0;;2;2;0;0;0;2;1;0;40;1;0;1;3
200800000281;3;66;0;;2;2;0;0;0;0;0;0;0;1;0;1;0
200800000282;3;933;0;;2;0;50;0;0;0;1;0;60;1;0;1;0
200800000283;9;0;0;;2;2;0;0;0;2;1;0;56;1;0;1;0
200800000284;3;17;0;;2;0;0;0;0;1;1;65;0;1;0;0;0
200800000285;3;107;0;;2;2;2;800;0;2;2;0;32;2;0;1;0
200800000286;3;120;0;;2;2;10;20;0;2;2;0;65;1;0;1;0
200800000287;3;104;0;;2;0;70;0;0;4;1;0;100;2;0;1;0
200800000288;3;104;0;;2;2;66;200;0;4;1;0;70;1;0;1;0
200800000289;3;1;0;;2;2;8;250;0;0;1;0;53;1;0;3;0
200800000290;3;104;0;;2;2;79;900;0;1;1;62;0;2;0;3;0
200800000291;3;578;0;A;2;2;1;0;0;2;1;0;64;1;0;1;0
200800000292;3;578;0;;2;2;0;0;0;4;1;0;60;1;0;1;0
200800000293;3;143;0;;2;2;11;200;0;1;1;0;55;1;0;1;0
200800000294;3;9;0;A;2;2;1;700;0;1;2;0;0;2;5;3;0
200800000295;3;111;0;;2;2;18;0;0;2;1;0;60;2;0;1;0
200800000296;3;104;0;;2;2;0;0;0;1;3;0;70;1;0;0;0
200800000297;9;0;0;;2;2;0;0;0;1;1;81;101;1;0;1;0
200800000298;4;0;0;;2;2;0;0;0;1;3;48;48;1;0;1;0
200800000299;3;104;0;;2;2;0;0;0;1;1;0;80;1;0;1;0
200800000300;3;844;0;;2;2;0;0;0;1;1;0;0;2;0;1;0
200800000301;3;59;0;;2;2;2;100;0;1;1;0;70;1;0;1;0
200800000302;3;158;0;;2;2;2;8;0;3;2;0;52;2;0;1;0
200800000303;3;538;0;;2;2;4;490;0;2;3;0;40;1;0;3;0
200800000304;3;532;0;;2;0;0;0;0;0;3;0;0;8;0;1;0
200800000305;3;523;0;;2;0;8;900;0;1;1;0;64;2;0;1;0
200800000306;4;0;0;;2;2;0;0;0;1;1;0;61;2;0;1;0
200800000307;3;520;0;;2;2;0;0;0;1;1;0;0;1;5;1;0
200800000308;3;1090;0;;2;2;28;0;0;2;1;0;71;1;0;1;0
